1 Päärakennus ;;
35 Falcon Gentti ; ; 
 ;351.015;Opetustila 1 
 ;351.016;Opetustila 2 
 ;351.017;Opetustila 3 
 ;351.018;Neuvotteluhuone 1 
 ;351.019;Neuvotteluhuone 2 
 ;351.061;Neuvotteluhuone 
 ;351.062;Opetustila 
36 Micronova ; ; 
 ;36MSauna ;Micronovan sauna 
 ;361167;1167
 ;362159;2159
 ;362183;Shockley 
 ;362186;"Bardeen" 
 ;362187;"Battain" 
 ;364109;4109
 ;364121;4121
 ;364167;4167
 ;364172;4172
 ;36Iso-sali ;2190
 ;36Pieni-sali ;2191
37 TUAS ; ; 
 ;37AS1 ;1018
 ;371135;1135
 ;371141;1141
 ;371142;1142
 ;371143;1143
 ;371144;1144
 ;371592;1592
 ;371593;1593
 ;371594;1594
 ;371595;1595
 ;371596;ruokalan kabinetti 
 ;372103;2103
 ;372104;2104
 ;372179;2179
 ;373103;3103
 ;373104;3104
 ;373550;3550
 ;373551;3551
 ;374126;4126
 ;371021-1022 ;1021-1022 
 ;371023-1024 ;1023-1024 
 ;371165-66 ;1165-66 
 ;371171-72 ;1171-72 
 ;371174-1176 ;1174-1176 
 ;371521-1522 ;1521-1522 
 ;372534-2535 ;2534-2535 
 ;3737/1001 ;ala-aula 
 ;3737/2001 ;ylä-aula 
 ;37AS2 ;2006
 ;37AS3 ;1621
 ;37Odeion ;Odeion / 2007 
 ;37TU1 ;1017
 ;37TU2 ;2005
 ;37TU3 ;1194
 ;37TU4 ;1195
 ;37TU5 ;1199
 ;37TU6 ;1200
 ;37TU7 ;1201
 ;37TU8 ;4125
 ;37TUAula ;aula 
 ;37TUSauna ;TUAS-talon sauna 
